ID,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
777525-16,6,0.075098814,0.31818182,0.027667984,0,0.017786561,0,0.011857708,0,0,0,0.001976285,0,0.007905138,0.007905138,0,0,0,0.007905138,0,0.017786561
777525-17,6,0.057491289,0.3728223,0,0,0,0,0,0.003484321,0.010452962,0,0.006968641,0,0.00174216,0,0,0.00174216,0.00174216,0,0,0
777525-18,6,0.069230769,0.23692308,0,0.013846154,0.016923077,0,0,0.003076923,0,0.010769231,0,0.003076923,0,0.015384615,0.04,0,0,0.003076923,0,0.006153846
777525-19,6,0.034115139,0.30916844,0,0,0,0,0,0,0,0,0,0.010660981,0,0,0.029850746,0,0,0,0,0
777525-20,6,0.060402685,0.22147651,0.004474273,0,0.046979866,0,0,0.013422819,0,0,0,0.015659955,0.006711409,0,0.033557047,0.022371365,0,0,0,0
777525-21,6,0.041745731,0.32258065,0.007590133,0.007590133,0.009487666,0,0.028462998,0,0,0,0.003795066,0,0,0,0.013282732,0,0,0,0,0
777525-22,6,0.072213501,0.18524333,0,0.015698587,0.006279435,0,0.006279435,0,0.03610675,0,0,0,0.021978022,0,0.03610675,0.025117739,0.001569859,0.042386185,0,0
777525-23,6,0.076521739,0.28173913,0.00173913,0,0,0,0.013913043,0,0.015652174,0,0.003478261,0,0.015652174,0,0,0,0.00173913,0.024347826,0,0
777525-24,6,0.052715655,0.30191693,0.004792332,0,0,0,0,0.023961661,0.028753994,0,0.003194888,0,0.004792332,0,0.001597444,0,0,0.025559105,0.004792332,0
777525-25,6,0.056603774,0.2212693,0.005145798,0.022298456,0.010291595,0,0,0.010291595,0,0.006861064,0,0,0.005145798,0,0,0,0,0.073756432,0,0
777525-26,6,0.072186837,0.32908705,0,0,0.027600849,0,0.010615711,0.012738854,0,0,0,0.002123142,0,0,0,0,0,0.002123142,0,0.002123142
777525-27,6,0.062809917,0.33884298,0,0,0,0.018181818,0,0,0.01322314,0.001652893,0,0,0,0.003305785,0,0.023140496,0,0.003305785,0,0.026446281
777525-28,6,0.11895911,0.27509294,0,0.005576208,0,0.001858736,0.007434944,0.001858736,0,0.024163569,0.00929368,0.001858736,0,0,0,0,0,0.003717472,0,0.026022305
777525-29,6,0.13308688,0.24399261,0.01663586,0,0.012939002,0.003696858,0,0,0.003696858,0,0.005545287,0,0,0,0,0.012939002,0,0,0,0.027726433
777526-1,6,0.13043478,0,0.009451796,0,0,0,0.14744802,0,0.026465028,0,0,0.009451796,0.018903592,0.001890359,0,0.018903592,0.001890359,0,0.018903592,0.11531191
777526-2,6,0.11752137,0,0,0,0,0,0.23717949,0,0,0,0,0,0,0.025641026,0.008547009,0.010683761,0.040598291,0,0,0.081196581
777526-3,6,0.1013289,0.004983389,0,0,0,0.028239203,0.21262458,0,0.00166113,0,0,0,0.011627907,0.008305648,0,0.016611296,0,0.024916944,0.008305648,0.10963455
777526-4,6,0.12214984,0.01465798,0,0.019543974,0.009771987,0.003257329,0.12052117,0.017915309,0,0.030944625,0,0,0,0,0.009771987,0,0.008143323,0.016286645,0.009771987,0.096091205
777526-5,6,0.11594203,0,0.037267081,0,0.008281574,0.002070393,0.14906832,0,0,0.016563147,0,0.002070393,0.00621118,0.004140787,0,0.00621118,0.010351967,0,0,0.10973085
777526-6,6,0.073375262,0,0.002096436,0.077568134,0,0.002096436,0.20545073,0.002096436,0.004192872,0.073375262,0.004192872,0.018867925,0,0,0.020964361,0,0,0.006289308,0.01048218,0.002096436
777526-7,6,0.08,0,0,0.007272727,0,0,0.092727273,0,0.049090909,0.021818182,0,0,0,0,0,0,0.076363636,0.007272727,0,0.13818182
777526-8,6,0.12479201,0,0.038269551,0.001663894,0,0,0.11148087,0.003327787,0.016638935,0.011647255,0,0.016638935,0,0,0,0.008319468,0.091514143,0.003327787,0,0.069883527
777526-9,6,0.12348668,0,0,0.002421308,0,0,0.21791768,0,0,0,0,0.012106538,0,0.007263923,0,0.012106538,0.046004843,0.002421308,0.00968523,0.065375303
777526-10,6,0.091106291,0.006507592,0.023861171,0.013015184,0,0,0.14316703,0,0.004338395,0.030368764,0,0,0,0.023861171,0.010845987,0,0.043383948,0,0.002169197,0.10195228
777526-11,6,0.08419244,0,0.003436426,0,0.006872852,0,0.24226804,0,0,0.04467354,0.005154639,0,0,0.010309278,0.010309278,0.006872852,0.010309278,0,0,0.065292096
777526-12,6,0.14710485,0,0.006259781,0,0,0,0.21909233,0.003129891,0.009389671,0.034428795,0,0.001564945,0,0.010954617,0,0.001564945,0,0,0.003129891,0.10954617
777527-1,6,0.1008547,0.005128205,0,0,0,0.003418803,0.01025641,0,0,0.3008547,0,0.001709402,0.001709402,0.063247863,0,0,0.006837607,0,0.001709402,0.015384615
777527-2,6,0.080708661,0,0.003937008,0,0,0,0,0,0.003937008,0.23031496,0,0.031496063,0,0.12795276,0,0,0,0,0,0
777527-3,6,0.058943089,0,0,0,0,0,0,0,0.012195122,0.28252033,0,0.014227642,0,0.081300813,0.004065041,0.004065041,0,0,0,0.006097561
777527-4,6,0.077227723,0,0.005940594,0.015841584,0.003960396,0,0,0,0,0.34257426,0,0.003960396,0,0.023762376,0,0.01980198,0,0,0.001980198,0
777527-5,6,0.10824742,0,0,0.001718213,0.010309278,0,0,0,0,0.27147766,0,0,0,0.013745704,0,0.008591065,0,0,0,0
777527-6,6,0.071428571,0.001879699,0.007518797,0,0,0,0,0,0,0.32894737,0,0.026315789,0,0.015037594,0,0,0.003759399,0,0.001879699,0
777527-7,6,0.056934307,0.004379562,0,0.002919708,0,0,0,0,0,0.39124088,0,0.002919708,0,0.037956204,0.001459854,0,0,0,0.004379562,0
777527-8,6,0.075396825,0,0,0,0.001984127,0,0.003968254,0,0,0.33531746,0.003968254,0,0,0.033730159,0,0.025793651,0,0,0,0.01984127
777527-9,6,0.10047847,0,0,0,0,0.016746411,0,0,0,0.31818182,0,0.023923445,0,0,0.002392345,0.0215311,0,0,0.004784689,0.009569378
777527-10,6,0.070981211,0.002087683,0,0,0.012526096,0.002087683,0,0,0,0.3131524,0.002087683,0.025052192,0,0.020876827,0,0.006263048,0,0,0.002087683,0
777527-11,6,0.062374245,0,0,0.004024145,0,0,0,0,0.010060362,0.30181087,0,0.052313883,0,0.012072435,0,0,0,0,0,0
777527-12,6,0.093939394,0.001515152,0.009090909,0,0,0,0,0,0.001515152,0.34242424,0.003030303,0,0.001515152,0.018181818,0,0,0,0.003030303,0,0
777527-13,6,0.074418605,0,0.018604651,0,0.013953488,0,0,0,0,0.34418605,0.011627907,0.002325581,0,0.03255814,0,0,0,0,0.004651163,0
777527-14,6,0.048387097,0,0,0,0,0,0.008064516,0,0.001612903,0.3516129,0,0,0.003225807,0.051612903,0.001612903,0.003225807,0,0.001612903,0,0
777527-15,6,0.088235294,0,0.017647059,0,0,0.015686275,0,0.005882353,0.009803922,0.38039216,0,0,0,0,0.005882353,0.001960784,0,0.007843137,0.001960784,0
777528-1,6,0.10634648,0,0.005145798,0,0.003430532,0,0,0.018867925,0.030874786,0.010291595,0.058319039,0,0,0.006861064,0,0.24528302,0.010291595,0.013722127,0,0.034305317
777528-2,6,0.16080402,0,0,0,0.010050251,0,0,0.012562814,0,0.012562814,0.005025126,0.040201005,0,0.040201005,0.005025126,0.26130653,0,0,0,0
777528-3,6,0.08318264,0.007233273,0.001808318,0,0.063291139,0.001808318,0,0.047016275,0,0.014466546,0.03074141,0.03074141,0,0.016274864,0.032549729,0.16998192,0,0,0.005424955,0.003616637
777528-4,6,0.067264574,0.044843049,0.01793722,0,0.035874439,0.01793722,0,0.047085202,0,0,0.013452915,0,0,0,0.015695067,0.29820628,0,0,0,0
777528-5,6,0.16594828,0.025862069,0.00862069,0,0.025862069,0.00862069,0,0.032327586,0,0.010775862,0.023706897,0,0.002155172,0,0,0.18965517,0.015086207,0,0.010775862,0
777528-6,6,0.13836478,0.020964361,0,0,0.014675052,0,0,0.052410901,0.012578616,0,0.039832285,0,0,0.020964361,0,0.22851153,0.002096436,0,0.006289308,0
777528-7,6,0.15559157,0.021069692,0.008103728,0.006482982,0.017828201,0,0,0,0,0,0,0.009724473,0.02917342,0.017828201,0,0.22852512,0,0,0.030794165,0.003241491
802217-1,7,0.097744361,0.026315789,0,0,0,0.007518797,0.054511278,0.020676692,0.001879699,0,0,0,0,0.015037594,0.065789474,0.001879699,0.10714286,0,0,0.015037594
802217-2,7,0.11796733,0,0.003629764,0,0.00907441,0.019963702,0.00907441,0,0.032667877,0.003629764,0,0.005444646,0.001814882,0.01814882,0,0.047186933,0.15063521,0.00907441,0,0.043557169
802217-3,7,0.078610603,0.010968921,0.023765996,0.001828154,0.023765996,0.010968921,0.031078611,0,0.043875686,0.005484461,0,0,0,0.020109689,0.032906764,0,0.21572212,0,0,0
802217-4,7,0.14471243,0.001855288,0.012987013,0,0.005565863,0,0.001855288,0,0.10018553,0.016697588,0,0.018552876,0,0,0.025974026,0.020408163,0.13172542,0,0,0
802217-5,7,0.10734463,0.018832392,0.016949153,0,0.003766478,0.018832392,0.039548023,0.033898305,0.082862524,0,0,0.020715631,0,0.003766478,0.015065913,0.009416196,0.043314501,0.026365348,0.003766478,0.020715631
802217-6,7,0.13617021,0,0.004255319,0.00212766,0,0.034042553,0,0.008510638,0.04893617,0,0,0,0,0.053191489,0.00212766,0,0.16382979,0,0,0.038297872
802217-7,7,0.12572534,0.01934236,0.027079304,0,0.003868472,0.00967118,0.036750484,0,0.13539652,0,0.005802708,0.003868472,0,0,0,0.001934236,0.034816248,0.001934236,0,0.03868472
802217-8,7,0.11423221,0,0,0,0.001872659,0,0.028089888,0,0.13670412,0.014981273,0.011235955,0,0.007490637,0.039325843,0,0,0.082397004,0,0,0.001872659
802217-9,7,0.21212121,0,0,0.042424242,0.018181818,0,0.012121212,0.012121212,0.042424242,0.006060606,0,0,0,0,0,0,0.078787879,0.090909091,0.006060606,0
802218-1,7,0.146875,0,0,0,0,0.246875,0,0,0,0.034375,0,0.0015625,0.034375,0.003125,0,0.0296875,0,0.021875,0.0078125,0.0234375
802218-2,7,0.11013216,0.011013216,0,0,0,0.21806167,0,0,0,0.00660793,0.017621145,0.004405286,0.002202643,0.028634361,0,0,0.04185022,0.052863436,0,0.061674009
