ID,Date stamp,Date,0,1,2,3,4,5,6,7,8,9
777525-10,6,7/1/20,0.016366612,0,0.055646481,0.003273322,0,0.30605565,0,0.098199673,0,0.009819967
777525-11,6,7/1/20,0,0.003401361,0,0.003401361,0,0.32823129,0.00170068,0.071428571,0.005102041,0.034013605
777525-12,6,7/1/20,0,0.009762901,0,0.0013947,0.013947001,0.24686192,0.036262204,0.092050209,0.020920502,0
777525-13,6,7/1/20,0.014344262,0,0.016393443,0,0,0.36680328,0.00204918,0.05942623,0.016393443,0.006147541
777525-14,6,7/1/20,0.026890756,0.005042017,0.016806723,0,0,0.33445378,0,0.048739496,0.050420168,0
777525-15,6,7/1/20,0.015748031,0.026771654,0.056692913,0,0,0.30393701,0.004724409,0.050393701,0,0.004724409
777525-16,6,7/1/20,0.015810277,0,0.049407115,0.001976285,0,0.33201581,0,0.088932806,0,0.005928854
777525-17,6,7/1/20,0,0,0.022648084,0,0,0.35017422,0.006968641,0.067944251,0,0.008710801
777525-18,6,7/1/20,0,0.006153846,0.018461538,0.007692308,0,0.26307692,0.061538462,0.061538462,0,0
777525-19,6,7/1/20,0.006396589,0,0.002132196,0.004264392,0,0.29211087,0.040511727,0.034115139,0,0.004264392
777525-20,6,7/1/20,0,0.033557047,0.011185682,0.002237137,0.006711409,0.21923937,0.060402685,0.091722595,0,0
777525-21,6,7/1/20,0,0,0.022770398,0.011385199,0,0.32447818,0.015180266,0.055028463,0,0.0056926
777525-22,6,7/1/20,0.004709576,0.017268446,0.042386185,0,0.001569859,0.21036107,0.059654631,0.10361068,0,0.009419152
777525-23,6,7/1/20,0.003478261,0,0.033043478,0.006956522,0,0.29565217,0.024347826,0.071304348,0,0
777525-24,6,7/1/20,0,0.017571885,0.051118211,0.025559105,0,0.33226837,0,0.020766773,0.001597444,0.003194888
777525-25,6,7/1/20,0,0.015437393,0.072041166,0.005145798,0,0.20411664,0.032590051,0.07890223,0.003430532,0
777525-26,6,7/1/20,0,0.014861996,0.01910828,0.002123142,0.010615711,0.34394904,0,0.067940552,0,0
777525-27,6,7/1/20,0.016528926,0.00661157,0,0,0,0.35371901,0,0.072727273,0.018181818,0.023140496
777525-28,6,7/1/20,0.003717472,0.001858736,0.007434944,0,0,0.27509294,0.033457249,0.10408922,0.024163569,0.026022305
777525-29,6,7/1/20,0,0,0,0,0,0.26432532,0.011090573,0.092421442,0.083179298,0.009242144
